Issue key,Issue Link,Summary,Status,Priority,Affect Versions,Created,Commit Count,Commit SHAs,Commit GitHub URLs
HBASE-868,https://issues.apache.org/jira/browse/HBASE-868,Incrementing binary rows cause strange behavior once table splits,Closed,Blocker,"['0.18.0', '0.2.1']",04/Sep/08 17:08,3,3b540886; 3793ee48; 998a55eb,https://github.com/apache/hbase/commit/3b540886dfdbe7ad508e60e946bbc8eb17cbb467; https://github.com/apache/hbase/commit/3793ee48e02c1e684b7a513141582e9485366580; https://github.com/apache/hbase/commit/998a55eba987fe807db76e34de99cfbbe9c3de78
HBASE-790,https://issues.apache.org/jira/browse/HBASE-790,"During import, single region blocks requests for >10 minutes, thread dumps, throws out pending requests, and continues",Closed,Blocker,['0.2.0'],01/Aug/08 00:38,5,942c54cf; 165e2ed9; b3bdd512; 0d8ab3ca; a9aef218,https://github.com/apache/hbase/commit/942c54cf565894e55c33f615f20db571754948fa; https://github.com/apache/hbase/commit/165e2ed915e53ada83705fa456732b0287bfe91a; https://github.com/apache/hbase/commit/b3bdd512f35bd9a52d0aec18c4362b34cf250c73; https://github.com/apache/hbase/commit/0d8ab3cad807282e2f1d753a16e241968b900fca; https://github.com/apache/hbase/commit/a9aef2181df030f4074465dda44d5891250fc781
HBASE-750,https://issues.apache.org/jira/browse/HBASE-750,NPE caused by StoreFileScanner.updateReaders,Closed,Major,['0.2.0'],17/Jul/08 18:21,4,47904a89; 80843cd0; 5ba18f58; 1f6c35ce,https://github.com/apache/hbase/commit/47904a89056bdb5c08e732f2de2a33780a4f6192; https://github.com/apache/hbase/commit/80843cd04dcf2bc2a7950945195289293df939f3; https://github.com/apache/hbase/commit/5ba18f58c068c284aaeb3756065e6ae66e6e9a3f; https://github.com/apache/hbase/commit/1f6c35ce1f610cc12296643131a612bf459b7a67
HBASE-627,https://issues.apache.org/jira/browse/HBASE-627,Disable table doesn't work reliably,Closed,Critical,['0.2.0'],15/May/08 09:58,2,acac3a8a; 932f83fb,https://github.com/apache/hbase/commit/acac3a8a952c3c4f397e323042b9af8f406ea098; https://github.com/apache/hbase/commit/932f83fb2510fc3e2e36b27350a90b9dd89476f8
HBASE-501,https://issues.apache.org/jira/browse/HBASE-501,Empty region server address in info:server entry and a startcode of -1 in .META.,Closed,Blocker,"['0.1.0', '0.16.0', '0.2.0']",08/Mar/08 02:32,5,4ea64897; c1f974bb; 277f675a; bba36ce7; 1e27f603,https://github.com/apache/hbase/commit/4ea64897feedf564027812413b46e1eb814f5a15; https://github.com/apache/hbase/commit/c1f974bbeea99cc6584ae6d5648822c94db9bf72; https://github.com/apache/hbase/commit/277f675af6164d8f5acc0cbf4008dae5e9a78a25; https://github.com/apache/hbase/commit/bba36ce79a0f66ba671be820107214115b942841; https://github.com/apache/hbase/commit/1e27f603a15e3354352085fffc1975967786ab32
HBASE-476,https://issues.apache.org/jira/browse/HBASE-476,RegexpRowFilter behaves incorectly when there are multiple store files,Closed,Blocker,"['0.1.0', '0.2.0']",29/Feb/08 18:26,5,aabe9f09; 57d1bde0; 2c046490; 4a668b07; 5ba8255b,https://github.com/apache/hbase/commit/aabe9f09a91b5612170975d7085c73636f51d2d1; https://github.com/apache/hbase/commit/57d1bde0e0efdd1f4299da5014504052411d8ed0; https://github.com/apache/hbase/commit/2c046490e7d52c799ff70b859fdcb7742ac5c67d; https://github.com/apache/hbase/commit/4a668b07f4a51cdd85c1c8d47b08405327835973; https://github.com/apache/hbase/commit/5ba8255b01d61e7cf52663dc450273e41eb6fc5e
HBASE-15167,https://issues.apache.org/jira/browse/HBASE-15167,Deadlock in TestNamespaceAuditor.testRegionOperations on 1.1,Resolved,Critical,['1.1.3'],26/Jan/16 05:12,1,7fc75768,https://github.com/apache/hbase/commit/7fc75768110fcea0664fee4cce3b41e966c455e0
HBASE-15100,https://issues.apache.org/jira/browse/HBASE-15100,Master WALProcs still never clean up,Closed,Blocker,['1.2.0'],13/Jan/16 21:11,5,e0fa176f; 772f30fe; 346e906c; 20d5577d; 8a34c141,https://github.com/apache/hbase/commit/e0fa176f0b3aef8f70e99eca752309810f6eb811; https://github.com/apache/hbase/commit/772f30fe2a66e6b7692e292c6f8f1ccf861dd5de; https://github.com/apache/hbase/commit/346e906cc8374fcc8d6897aa935678ebb10a3ca4; https://github.com/apache/hbase/commit/20d5577d2e1b8e395e66be88a66a70bec8665f4f; https://github.com/apache/hbase/commit/8a34c14129758adcea62299dfaaeb193d0279758
HBASE-14536,https://issues.apache.org/jira/browse/HBASE-14536,Balancer & SSH interfering with each other leading to unavailability,Closed,Major,['1.1.2'],01/Oct/15 22:53,3,4c39c74f; c6c5c95f; 9bdb88a5,https://github.com/apache/hbase/commit/4c39c74ff319c94517c53eb1a639ef7ed53d799c; https://github.com/apache/hbase/commit/c6c5c95f01ffd582392fcc3f025602190219a213; https://github.com/apache/hbase/commit/9bdb88a572ac30fb51fcc44284f51543d2b4568f
HBASE-14407,https://issues.apache.org/jira/browse/HBASE-14407,NotServingRegion: hbase region closed forever,Closed,Critical,"['0.98.10', '1.1.2', '1.2.0', '1.3.0']",11/Sep/15 05:47,5,eb4b143b; 01398739; b33b7f44; 8b9e7052; 0dd57174,https://github.com/apache/hbase/commit/eb4b143b95400b359006a2d4e7c092f0617bb45a; https://github.com/apache/hbase/commit/013987396d83724450ce492f1ca9252ec271ad70; https://github.com/apache/hbase/commit/b33b7f44f8f03579958f8c78accd8474a65eb860; https://github.com/apache/hbase/commit/8b9e705290af2456e3815d9409d3ebf3dba9c48e; https://github.com/apache/hbase/commit/0dd57174fa218598e7877ea172aa46f82e5d7ded
